customer_name,hostname,family,ndi,cbp_cnt,fn_cnt,eox_cnt,psirt_cnt,ccf_cnt,cna_cnt,slg_cnt,siar_cnt
BOA,ARLTRST03R01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARLTRST03R02,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARLTRST03VAR01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARLTRSV01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRTC01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRWS01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARNLRDT01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARNLRIH01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARNLRMB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARNLRRC01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARPNBBB01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARPNBFA01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARPNBOP01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARROGVK01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARROGVK01IDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARROGVK01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ARROGVK01VAR01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARROGWS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARSGDEM01R2,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARSGDSS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARVILMS01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZADENM01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZADEWB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZAJNAT01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZAJNAT01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZANHAR01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZANHAR01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZBCYLD01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZBCYLD01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZBCYNF01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZBSEBR01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZBSEBR01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZBSECQ01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZBSNWF01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZBSNWF01E2,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZBSNWF01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZBUCMS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZBUCWR01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZBUCYW01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZBUCYW01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRAE01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
